House_ID,Neighborhood,Square_Feet,Bedrooms,Bathrooms,Year_Built,Year_Renovated,Condition,Sold_Price
H-0741,Sunny Valley,3555,5,1,1971,2012,1,851740.8351306014
H-0004,Gilden Ridge,3216,3,2,1983,2021,10,0.0
H-1640,Maplewood,2794 sqft,4,1,2004,2002,5,567460.8100058788
H-1893,Sunny Valley,2255,2,2,1973,2009,3,527153.9284798357
H-1978,Swamp Bottom,2224 sqft,3,3,1976,2023,7,283319.812703422
H-0012,Gilden Ridge,634 sqft,6,3,1998,2018,10,163435.87670493923
H-1281,Maplewood,2178 sqft,6,1,1961,1992,2,473456.1285741324
H-0663,Sunny Valley,1724 sqft,4,1,1985,2019,6,454462.63526260096
H-0715,Industrial District,1999 sqft,6,2,1976,2003,7,409673.4246413091
H-1395,Swamp Bottom,"1,720",7,1,1998,2007,4,227893.09879694178
H-1921,Golden Ridge,"2,363",2,1,1989,2021,10,859894.3290103525
H-0227,Sunny Valley,1863,6,3,2007,2010,10,630428.1466534594
H-1292,Maplewood,1872,5,2,2008,2022,1,420586.3618009915
H-1107,Swamp Bottom,966,6,4,1973,2014,9,144398.74113006008
H-0724,Maplewood,3490,6,1,1969,2005,6,749267.7416220914
H-0961,Maplewood,"2,045",2,4,1975,2009,9,465320.38594374416
H-1537,Maplewood,"2,784",5,4,2017,2007,9,642508.5824249607
H-0192,Swamp Botom,2423 sqft,2,3,2017,1996,2,393868.75927640253
H-1299,Maplewood,2361,2,2,1975,2014,10,496636.64745824545
H-0264,Swamp Bottom,1742,3,1,1961,2003,7,159864.47363142687
H-1972,Sunny Valley,1577,5,3,1978,2005,4,473449.83259263396
H-1494,Maplewood,2468,7,3,1991,2012,4,501871.2765466631
H-0750,Golden Ridge,"2,135",7,4,1967,2020,10,871430.8831449157
H-0408,Industrial District,834,5,1,2014,2013,3,227041.04839130872
H-0267,Maplewood,2029,6,4,1982,2006,6,479459.55554301775
H-1784,Maplewood,1699 sqft,7,2,1999,2013,5,480340.0765141558
H-1632,Maplewood,1427,4,2,1970,2011,5,343754.4946470533
H-1773,Industrial District,"2,137",2,4,2013,1998,3,364320.5694566858
H-0324,Industrial District,1969 sqft,2,3,2013,2000,2,309359.302534178
H-0966,Maplewood,-61 sqft,2,3,1978,1998,6,64197.39302162791
H-0098,Gilden Ridge,1319,5,1,1987,2012,3,520821.22260150744
H-0404,Sunny Valley,3622,5,1,1968,2013,10,936679.0815609036
H-1427,Industrial District,-1007,2,4,2000,2017,8,-101023.15063552567
H-1715,Industrial District,-239,7,3,2007,2020,2,66217.12948155645
H-1622,Maplewood,2731,3,1,2010,2020,8,613841.5067235664
H-0344,Sunny Valley,"1,154",4,2,2009,2024,2,327326.6174268867
H-1975,Industrial District,"3,133",2,4,1992,2012,1,476305.5492846739
H-1509,Swamp Bottom,"2,401",4,2,1972,1997,1,227456.32791086167
H-1763,Maplewood,1295 sqft,3,2,1978,2020,7,364018.8831077238
H-0516,Sunny Valley,953 sqft,2,2,1991,2007,9,
H-0722,Golden Ridge,1986,4,1,1973,2019,4,732213.1318613169
H-1421,Maplewood,"1,209",3,3,2012,2003,8,299701.79863915103
H-0428,Sunny Valley,2182,4,4,2015,2021,5,613408.2134005185
H-1287,Sunny Valley,2451,3,4,2020,2005,9,665494.3615359087
H-0821,Golden Ridge,"1,063",5,3,2001,2000,5,508940.59008083754
H-0007,Gilden Ridge,1596 sqft,2,2,1989,2022,4,0.0
H-1936,Sunny Valley,2941,5,4,1979,2007,6,809951.8972477724
H-1159,Golden Ridge,1167 sqft,2,2,1962,2020,2,422854.93074254994
H-1539,Maplewood,883,7,4,2001,1999,8,312090.2135384817
H-0625,Sunny Valley,2889,6,3,1962,2014,7,775844.0948215838
H-0922,Swamp Bottom,2689,6,4,1960,1996,4,274813.90178893955
H-1601,Sunny Valley,1657 sqft,5,2,1988,2000,6,507209.8360200222
H-1400,Sunny Valley,"2,126",6,3,1992,2022,8,621404.1739099245
H-0055,Gilden Ridge,2080,5,4,1974,2002,5,330326.7362223897
H-0384,Maplewood,"2,408",2,1,2015,1990,5,533542.1849894373
H-0915,Sunny Valley,"1,780",3,1,2022,2013,1,459587.68788853753
H-0310,Sunny Valley,3882,4,2,1965,2016,8,982890.6209981262
H-0007,Gilden Ridge,1596 sqft,2,2,1989,2022,4,186550.82667143477
H-0893,Sunny Valley,1586,5,1,2015,2007,8,541882.1620806427
H-1518,Sunny Valley,"3,096",4,3,2023,2013,8,762898.8066036428
H-1981,Swamp Bottom,2017 sqft,7,2,2001,1991,4,259209.7195029238
H-0186,Swamp Botom,1785,3,3,2008,2013,3,188573.50659663335
H-0851,Maplewood,1840 sqft,5,2,2019,2013,5,456988.2875287612
H-0188,Swamp Botom,2922 sqft,4,1,1976,1996,2,559502.4678555029
H-0879,Sunny Valley,"2,771",7,3,1984,2013,5,831748.0427331345
H-1709,Maplewood,2895,4,1,1960,2024,5,646497.0296053934
H-0066,Gilden Ridge,3478 sqft,4,1,1967,2020,3,1172911.9261313952
H-1259,Maplewood,"2,714",6,2,1998,2014,10,629494.4995389666
H-1341,Maplewood,"1,465",5,1,2010,2015,5,380487.88411253266
H-0798,Maplewood,"1,798",6,2,1990,2002,2,437292.5642614503
H-1867,Sunny Valley,3069 sqft,7,2,1980,2018,7,849406.2687908611
H-0891,Swamp Bottom,"1,549",5,2,2012,1999,3,186513.89073237038
H-1914,Sunny Valley,"1,435",2,1,1987,1995,10,404623.0680623712
H-0342,Sunny Valley,1405 sqft,4,2,2001,2013,5,385539.3088363039
H-1551,Maplewood,571,2,2,1979,2004,2,135594.1121367851
H-0000,Gilden Ridge,2157,5,3,1960,1997,6,627408.148318637
H-1707,Sunny Valley,1356 sqft,7,4,1985,2019,4,460386.861675509
H-1302,Golden Ridge,1915,3,3,1996,1999,1,618703.9175469168
H-1855,Sunny Valley,"2,998",6,1,2014,2015,1,810101.6756289375
H-1339,Golden Ridge,"3,849",5,1,1973,1990,8,1309329.7969759977
H-0914,Maplewood,3031,3,4,1994,2011,5,634079.1202730872
H-0006,Gilden Ridge,1431,3,2,1977,2006,3,556619.32109794
H-0820,Swamp Bottom,1979,6,1,1999,2014,7,245604.34413596196
H-1357,Sunny Valley,3166,4,2,1984,1998,4,821346.3082575832
H-0197,Swamp Botom,1275 sqft,3,1,2004,1998,5,155117.67642388356
H-0096,Gilden Ridge,2333,2,2,1972,2016,7,510347.5174760157
H-0037,Gilden Ridge,2032,6,4,1984,2001,6,765572.7735218791
H-0813,Industrial District,2037,2,3,2008,2001,10,391701.22272671777
H-0746,Sunny Valley,2545,3,1,2022,1996,4,668155.1573879782
H-0127,Swamp Botom,2231,2,4,1973,2021,10,263024.3579049019
H-0277,Maplewood,"1,728",2,3,1961,1995,10,426238.1586249167
H-1934,Maplewood,3105 sqft,4,4,1966,2010,10,658602.0995672825
H-1662,Industrial District,"2,398",2,1,1988,2014,5,407123.1571896978
H-0670,Sunny Valley,"1,377",6,2,1992,1992,5,497355.9543354471
H-1911,Swamp Bottom,851,6,2,1970,2024,7,148365.10747085774
H-1969,Golden Ridge,"1,635",5,4,2014,2010,3,582263.2163936143
H-1318,Golden Ridge,770 sqft,6,2,1980,1992,7,398879.074660965
H-0774,Swamp Bottom,"1,841",5,3,2010,1992,8,202285.93708045396
H-0345,Maplewood,1849,7,2,2022,1990,6,493640.23781596846
H-1797,Golden Ridge,"2,656",6,3,1968,1998,8,1028227.508106099
H-1985,Golden Ridge,997,3,4,2013,2004,10,465509.6892478978
H-0487,Sunny Valley,1047,6,3,1996,1994,1,296400.43472341564
H-0460,Golden Ridge,2860 sqft,4,4,2006,1997,7,1077158.732930563
H-1046,Sunny Valley,1552 sqft,2,3,1986,2014,6,449645.853480905
H-1717,Maplewood,"2,197",2,3,2016,1990,6,446654.51712062414
H-0204,Maplewood,"3,260",6,1,2023,2008,10,775229.325327746
H-0445,Industrial District,1996,7,2,2011,2011,10,424287.090146012
H-1851,Swamp Bottom,1610 sqft,7,1,1967,1994,10,202128.80993055383
H-0519,Sunny Valley,"1,186",4,3,2017,1990,3,
H-0985,Maplewood,2160,5,1,2010,2018,4,523014.20534985355
H-1926,Maplewood,627,2,4,1996,2009,9,217606.7631248821
H-1101,Industrial District,3295 sqft,6,1,1997,2001,1,559355.2013395935
H-1126,Golden Ridge,1841,2,4,2009,2009,3,611498.322146839
H-1489,Sunny Valley,2899 sqft,6,2,2003,1994,8,814334.6016545212
H-1954,Industrial District,2330,4,4,2022,2021,4,414258.7364713145
H-1844,Industrial District,1712,7,1,1974,1996,7,378815.21703983995
H-0978,Maplewood,"2,089",7,4,2014,2013,8,527482.2581652708
H-1127,Sunny Valley,1835,3,1,2001,2013,3,505893.07800731604
H-1149,Swamp Bottom,3081 sqft,3,3,1969,2021,10,349098.8116117515
H-0145,Swamp Botom,3229 sqft,3,2,1985,2023,5,1092887.9386396417
H-0956,Maplewood,1509 sqft,6,2,1990,2003,7,371346.32109394367
H-1593,Golden Ridge,1386,5,4,2005,1991,7,674303.6265998138
H-0397,Sunny Valley,"1,327",4,4,1979,1990,7,456464.25764624326
H-0001,Gilden Ridge,1479 sqft,4,3,2017,2016,6,303059.0625239145
H-0000,Gilden Ridge,2157,5,3,1960,1997,6,0.0
H-0221,Maplewood,"1,384",7,4,2014,2000,4,425650.0691229921
H-1558,Swamp Bottom,"2,258",5,4,1986,2018,8,256014.83511576723
H-0423,Maplewood,3422,2,2,2019,2003,8,671508.1248516772
H-0262,Golden Ridge,"2,043",4,1,1996,1992,2,698510.7573890031
H-1383,Sunny Valley,997,2,4,2018,1991,4,294580.97639247077
H-0837,Sunny Valley,1298 sqft,7,4,1989,2019,6,472040.07004073093
H-0692,Maplewood,1694,5,3,1981,1993,2,381102.19990783976
H-1346,Sunny Valley,713,7,4,1966,2005,4,319653.42725443584
H-1209,Industrial District,"1,958",3,1,2004,2000,5,321638.8226868574
H-1910,Sunny Valley,"1,815",6,2,1993,2002,5,553850.6424899342
H-0438,Maplewood,"1,875",7,3,1989,2023,1,420091.190435649
H-1688,Maplewood,1852,4,2,1996,2017,7,443046.2220022538
H-0503,Swamp Bottom,"1,744",3,4,1982,2004,1,
H-0810,Industrial District,"2,310",2,2,2012,1999,6,410209.9039330321
H-0919,Golden Ridge,2332,3,1,2009,2005,4,839249.4013653217
H-1579,Maplewood,1417,7,1,1992,1993,7,434331.9791858119
H-1218,Maplewood,1715 sqft,4,1,1981,2015,6,388121.67497009353
H-0982,Golden Ridge,975 sqft,3,4,1969,2018,7,440336.5693597471
H-0781,Maplewood,"2,676",7,2,1998,1996,4,592462.8347091101
H-0366,Industrial District,283 sqft,3,3,1967,2004,3,83189.39195424003
H-0859,Golden Ridge,1302,3,1,2009,2024,6,536243.7727462453
H-0929,Sunny Valley,1355 sqft,2,4,2008,2011,5,386662.14245620946
H-1274,Maplewood,2406 sqft,2,2,1990,2020,2,529379.5607690563
H-0463,Maplewood,"3,181",2,4,2014,2019,4,633632.994146506
H-1002,Swamp Bottom,"2,669",5,1,1978,1993,9,314809.13006945606
H-1182,Maplewood,2574 sqft,7,2,1972,2010,3,572321.0045636761
H-1595,Maplewood,1709 sqft,4,4,1997,2008,10,452220.60361918405
H-1004,Swamp Bottom,570,6,1,1992,1997,3,138750.5701179911
H-0580,Maplewood,1041 sqft,4,4,1981,2021,5,
H-0719,Maplewood,1748 sqft,6,3,2020,1990,3,412766.7726040443
H-0067,Gilden Ridge,1917 sqft,2,1,2006,2004,10,216488.3132195676
H-1743,Golden Ridge,2854,2,1,1977,1993,6,938303.3308232761
H-1201,Golden Ridge,2405 sqft,4,3,1991,2007,1,837756.3269596173
H-0473,Swamp Bottom,1450 sqft,6,3,1989,2007,8,190926.10775412997
H-0853,Swamp Bottom,1077,5,4,1974,2008,3,158061.69016930362
H-0223,Sunny Valley,1674,5,4,1993,1991,9,539653.1384932828
H-0191,Swamp Botom,2481 sqft,4,1,1984,2019,8,259082.9608687882
H-1325,Sunny Valley,684 sqft,6,3,1990,2021,5,332181.4575709315
H-1353,Maplewood,2185,4,1,1986,1990,3,439127.24537277746
H-1918,Sunny Valley,2178 sqft,2,1,1963,1999,10,604616.5759454551
H-1335,Maplewood,648 sqft,6,4,1987,2022,1,226916.43334636162
H-1699,Maplewood,416,3,2,2004,1991,6,138761.27519165698
H-1167,Maplewood,"1,854",7,3,1972,2016,10,537490.3435835454
H-1790,Sunny Valley,"2,133",7,1,1976,2000,1,629430.0592469649
H-1843,Maplewood,"2,290",4,1,1961,2017,2,533984.4347694811
H-0779,Maplewood,1560 sqft,2,3,1980,2000,9,400813.0940000317
H-1431,Maplewood,"1,702",2,4,2003,2010,5,354236.96927002363
H-1412,Sunny Valley,"2,516",4,3,1994,2001,9,753136.4054754751
H-1726,Maplewood,"2,866",4,4,1990,2002,7,619110.9495134595
H-1301,Industrial District,1668,2,1,1975,2002,9,316011.1857202348
H-1864,Industrial District,721 sqft,2,2,1987,2002,10,146549.34085626362
H-1150,Maplewood,862 sqft,3,3,1976,2021,2,206113.1884631019
H-0526,Sunny Valley,1780,4,4,1966,2022,6,
H-1043,Maplewood,893,7,3,2018,2017,8,319613.8535699681
H-1410,Sunny Valley,1081 sqft,2,4,2019,2022,5,355613.5342130731
H-1081,Golden Ridge,-329 sqft,3,3,1979,1994,9,16331.445873172022
H-1430,Maplewood,1059,7,1,1980,2008,5,367485.85925112275
H-1026,Swamp Bottom,1788 sqft,2,1,1978,2004,8,244305.5347016317
H-0362,Maplewood,3518,5,3,1986,2020,8,757826.5862105029
H-0193,Swamp Botom,2319,5,3,2000,2022,6,563207.7631716228
H-1577,Maplewood,3154,2,4,1972,1993,10,639574.6254346053
H-0577,Industrial District,"1,207",5,2,1972,1991,10,
H-1023,Industrial District,801,4,1,1977,2006,8,188265.27406866834
H-0997,Golden Ridge,"1,184",7,4,2020,2016,8,640625.8855889674
H-0356,Golden Ridge,1680,7,2,2020,1998,2,656228.5619426753
H-1324,Industrial District,2691,4,3,2005,2007,3,483082.2685944153
H-0321,Maplewood,1761,2,3,2010,2010,6,416973.3923764466
H-1145,Swamp Bottom,1008,5,4,1976,2020,6,141820.06177706015
H-1261,Swamp Bottom,1903 sqft,2,1,1962,2018,7,204583.69540832925
H-1991,Sunny Valley,763,7,4,2005,1998,6,366095.36540927057
H-1139,Maplewood,1982 sqft,4,3,1974,2017,7,456044.44715061336
H-0363,Maplewood,"2,337",4,4,1974,1995,3,513569.4998169956
H-0317,Sunny Valley,3101,5,4,1987,2001,7,793431.6246897149
H-0355,Maplewood,1877 sqft,7,4,2022,2013,3,516306.8430100095
H-1623,Industrial District,2709 sqft,7,4,2017,2021,7,479967.88098082424
H-0177,Swamp Botom,"2,485",6,4,2009,1995,8,754759.0758671366
H-0258,Maplewood,1546 sqft,2,4,1972,1990,3,327105.58046108903
H-1314,Maplewood,2155 sqft,2,4,2005,2022,8,486689.6776598492
H-0622,Sunny Valley,2413 sqft,2,1,2005,2015,10,662656.8910715694
H-0518,Industrial District,2201 sqft,3,3,2013,2010,2,
H-1405,Maplewood,1234 sqft,6,2,1979,2021,6,365591.1799928102
H-0140,Swamp Botom,"2,056",5,4,1978,2005,3,389256.4766055244
H-0590,Golden Ridge,1848,5,4,2016,2008,5,
H-1060,Swamp Bottom,260,7,3,1989,2018,9,103275.42458609279
H-0016,Gilden Ridge,1799 sqft,3,4,1992,1994,7,0.0
H-1610,Swamp Bottom,1379,5,2,2020,1990,9,192242.41793283424
H-0276,Swamp Bottom,2399 sqft,5,4,2014,1993,7,306849.1112924266
H-0164,Swamp Botom,979,4,3,1982,2012,10,512664.536561884
H-1085,Maplewood,1862 sqft,5,4,1969,1999,2,395821.76379773
H-0690,Sunny Valley,3386,5,1,1965,2010,10,889396.3416959657
H-0790,Sunny Valley,1603,6,2,2011,1998,9,538533.6110662996
H-0236,Sunny Valley,3180,2,3,2022,2015,9,824280.4315160838
H-0379,Sunny Valley,2616,2,3,1997,2019,9,685546.4745331791
H-0888,Golden Ridge,"3,125",3,2,2017,1990,5,1020706.8026585804
H-0478,Industrial District,3070,6,2,2015,1998,5,514736.4365275952
H-1961,Sunny Valley,1603 sqft,7,3,1962,1993,10,570325.7742891166
H-0628,Golden Ridge,"1,700",4,4,1976,2005,9,692055.6673820874
H-0649,Maplewood,"1,062",6,2,1969,2001,3,292086.5777653134
H-0814,Swamp Bottom,"1,155",5,4,1970,2007,3,169830.61868565902
H-0015,Gilden Ridge,"2,701",5,1,1988,2010,4,759409.380604992
H-1227,Sunny Valley,2247,3,3,2003,2013,6,601505.2271578056
H-0809,Golden Ridge,"1,401",3,3,2003,2013,5,486830.9045741609
H-0122,Swamp Botom,-151,3,2,2014,1994,1,720.4366790299573
H-1842,Sunny Valley,883,5,3,1985,2020,6,358752.6081663507
H-1767,Maplewood,1792,5,1,2021,2004,7,409019.9392694169
H-1001,Maplewood,1172,2,4,2022,1992,1,238788.43447649977
H-0498,Industrial District,864,7,2,2024,1995,3,159953.03855462844
H-1826,Golden Ridge,2430,3,4,2020,1990,10,893367.6382445587
H-1072,Golden Ridge,358,4,1,1960,1995,6,278355.4478116969
H-1798,Golden Ridge,1668 sqft,3,3,2012,2018,1,545103.0782395976
H-0640,Golden Ridge,1754,3,4,2005,2021,2,606133.7102275669
H-0219,Swamp Bottom,2529 sqft,6,2,1978,2023,10,312001.9852490318
H-0691,Sunny Valley,"2,930",6,4,2023,2009,10,870828.5038912713
H-1582,Maplewood,3257 sqft,5,4,1989,2020,5,696657.5178069063
H-1612,Maplewood,3009,2,2,2007,2020,1,579386.2255208027
H-1247,Golden Ridge,1865,5,4,2012,1992,3,701720.6179171384
H-1637,Sunny Valley,"2,727",6,3,2000,2005,6,678471.3869766883
H-0626,Maplewood,2490 sqft,7,3,2001,1991,10,586313.1059300589
H-0485,Industrial District,789,6,2,1960,2004,8,260125.0833118262
H-1330,Maplewood,3647,4,3,1988,1997,1,763731.42874393
H-1033,Golden Ridge,2168 sqft,6,2,2014,2018,7,839649.7211394643
H-1901,Golden Ridge,2964,3,3,1999,2012,6,986102.2574590857
H-0210,Maplewood,2098 sqft,4,4,2008,1996,1,453643.22912442335
H-0257,Maplewood,2007 sqft,7,3,2001,2022,10,604978.0600561625
H-1255,Sunny Valley,655,5,4,1968,1992,7,300996.63346610265
H-0332,Golden Ridge,1492,5,4,1988,2016,9,645317.7902487495
H-0005,Gilden Ridge,2081,7,3,1978,2004,8,685282.974265661
H-1959,Swamp Bottom,3537,4,3,1989,1995,3,385459.3676092081
H-0946,Golden Ridge,2477,6,4,2016,2010,8,988441.3182772149
H-0352,Maplewood,1262,3,4,2006,2022,4,262168.7809952677
H-1087,Sunny Valley,1717,6,1,2018,2019,1,488256.45264589007
H-1068,Sunny Valley,"2,112",4,2,1971,2002,7,620515.042976244
H-0638,Sunny Valley,"2,071",3,1,1966,1997,5,545012.3331288667
H-1722,Sunny Valley,"2,404",3,3,2006,2024,6,637092.9110385864
H-0100,Swamp Botom,2970 sqft,5,2,2018,2009,4,996486.9113544216
H-1824,Maplewood,1383,2,4,1985,2004,8,344991.83265699324
H-1408,Maplewood,2786 sqft,4,4,1987,2021,5,570977.8551688042
H-0967,Sunny Valley,1542,7,2,1989,2021,6,510337.7639465269
H-1672,Swamp Bottom,233,7,3,1980,1993,4,100476.27284056005
H-1647,Swamp Bottom,1067,4,3,1988,2018,4,156503.73009754583
H-1262,Sunny Valley,1986 sqft,6,2,2023,2015,4,603974.4078345487
H-1533,Sunny Valley,2009 sqft,6,1,1983,2002,1,558110.2534198379
H-1045,Maplewood,"2,042",4,1,2020,1990,7,489464.76153763745
H-0198,Swamp Botom,2626,7,1,1973,2001,5,319041.09357990447
H-0589,Sunny Valley,2715 sqft,7,2,1976,1994,6,
H-1110,Swamp Bottom,"2,015",3,2,1998,1992,5,225099.94082318817
H-1976,Sunny Valley,3270,6,1,1999,2023,8,874902.4508051958
H-0071,Gilden Ridge,1425,3,4,1967,1998,10,494791.0673985539
H-1568,Maplewood,2029,6,2,1982,2022,7,489708.2352647864
H-0827,Sunny Valley,953,2,4,2024,1990,1,260138.8065264376
H-0275,Maplewood,3458 sqft,5,3,1979,1994,3,723632.1348265645
H-0286,Maplewood,3042,4,3,1974,2010,7,645056.1444249112
H-0018,Gilden Ridge,2063,4,4,1974,1995,3,530271.974408341
H-1428,Maplewood,1845 sqft,4,2,1977,2005,1,391784.47107822617
H-0898,Golden Ridge,"1,275",6,1,1974,2009,7,603694.797824608
H-0687,Sunny Valley,1755 sqft,2,1,1975,2016,4,455096.3518034781
H-0386,Sunny Valley,2692 sqft,5,1,1981,1991,6,733438.6112218841
H-0244,Golden Ridge,1155 sqft,6,2,2011,1995,6,531586.3165328619
H-0410,Sunny Valley,3413,4,2,1997,2013,4,892135.9497684826
H-1264,Golden Ridge,"2,506",5,2,1970,2003,1,860937.5157006527
H-1133,Sunny Valley,920 sqft,4,3,1993,2013,10,377010.83633518376
H-0231,Maplewood,2808 sqft,2,4,1989,2002,4,545200.1275365571
H-1277,Industrial District,"2,306",2,3,1984,2024,10,422694.76931948564
H-0282,Sunny Valley,3803,3,2,2018,2009,3,882584.3228589732
H-1097,Sunny Valley,"1,670",7,4,2013,2022,4,537784.080126735
H-0786,Maplewood,1527,7,1,2016,2001,10,409990.51605275064
H-1032,Sunny Valley,1565,5,1,1984,2013,6,524100.0185305811
H-0006,Gilden Ridge,1431,3,2,1977,2006,3,0.0
H-0501,Maplewood,1377 sqft,2,2,1976,2018,6,
H-1751,Sunny Valley,3244,3,3,1973,2004,7,833860.5222181883
H-1425,Industrial District,"2,680",7,1,2012,1993,3,500470.1556398463
H-1235,Sunny Valley,1936 sqft,4,1,2018,2010,7,534625.7527886274
H-1184,Golden Ridge,1540 sqft,5,2,2016,2002,5,608846.1329252925
H-0343,Sunny Valley,922 sqft,2,4,1992,1995,4,254248.19597870501
H-1628,Golden Ridge,2958 sqft,2,1,2007,2001,5,985385.0979088022
H-1895,Maplewood,333,4,1,1989,2019,8,153066.45266799125
H-1776,Maplewood,1208 sqft,7,1,1993,2010,2,340220.35518330295
H-0318,Sunny Valley,2161 sqft,5,2,1962,2017,10,601146.3781969702
H-0659,Maplewood,2167 sqft,2,3,1985,2003,6,473813.5162816794
H-1685,Swamp Bottom,2692 sqft,5,3,1992,2001,7,292665.53643234324
H-0134,Swamp Botom,2170 sqft,4,2,2015,1995,1,374127.6820665523
H-1115,Maplewood,2471,5,4,1990,2006,1,452531.4729944021
H-0895,Sunny Valley,"1,623",7,1,2002,2001,6,568278.1543386967
H-1354,Maplewood,3275,6,3,1960,1998,1,708993.7690252727
H-1947,Golden Ridge,"2,401",5,2,2007,2020,7,888078.9122540721
H-0128,Swamp Botom,2403,4,4,2004,2015,6,862518.1302254891
H-0133,Swamp Botom,1337,4,4,1982,2017,10,427216.10387719685
H-0668,Sunny Valley,735,7,3,1971,1997,10,364119.6237119286
H-1268,Maplewood,2138 sqft,5,1,1998,1992,4,473385.41052865307
H-1879,Maplewood,"1,628",3,2,1994,2018,3,359410.8566480705
H-0350,Maplewood,1580,5,3,2007,2000,3,386677.7140771209
H-1925,Golden Ridge,"2,991",7,3,2016,2023,5,1072240.3055248077
H-1344,Maplewood,2616,2,4,1964,1997,9,567738.0681763472
H-0574,Swamp Bottom,2508 sqft,7,1,2017,2019,4,
H-0605,Maplewood,3037,3,3,2001,1993,2,624441.3929260348
H-1164,Sunny Valley,2560,6,3,2015,2019,10,776864.2787866018
H-1529,Maplewood,2388,2,2,1972,1991,3,505111.0120710717
H-0018,Gilden Ridge,2063,4,4,1974,1995,3,0.0
H-0146,Swamp Botom,8,3,1,1999,2000,10,155120.14218940775
H-0072,Gilden Ridge,1973,7,4,1975,2012,6,807152.4183089751
H-1611,Maplewood,"3,647",4,4,1982,2005,4,785152.3415966888
H-1143,Maplewood,"1,516",7,1,2010,2011,10,425772.3067053729
H-1700,Industrial District,1455,5,3,1979,2022,7,287574.0075971129
H-1031,Maplewood,2079 sqft,6,2,1999,2017,3,486477.156568055
H-0752,Maplewood,"2,757",5,2,2012,2013,6,581993.3863425517
H-1753,Sunny Valley,"2,263",6,4,1992,2011,4,627252.9852228402
H-1291,Golden Ridge,"3,140",6,2,2008,2022,7,1183340.219339478
H-1450,Maplewood,3315 sqft,2,2,1963,2008,5,642213.5219448901
H-0211,Maplewood,2413,5,4,1975,2000,8,592165.2480266036
H-1536,Sunny Valley,1059,4,2,2019,1997,10,387866.33816211834
H-1989,Maplewood,2071,4,3,2005,2012,9,518422.0409547584
H-0934,Sunny Valley,"2,574",3,4,1963,2002,7,670252.9592441884
H-1417,Golden Ridge,1279 sqft,7,3,2017,2011,4,628590.4203648625
H-1734,Golden Ridge,2712,7,1,1968,1991,1,994469.6996203475
H-1223,Industrial District,811 sqft,2,3,2023,2001,9,244695.49725533492
H-1076,Sunny Valley,2023,6,3,1987,2011,4,561888.3425534887
H-0108,Swamp Botom,"1,251",7,1,1968,2020,6,465954.9004307479
H-1965,Maplewood,779,4,2,1965,2017,3,199731.62965944194
H-0656,Sunny Valley,1141 sqft,5,3,2002,2018,7,380252.9600515544
H-0905,Swamp Bottom,"1,663",3,3,1977,2019,5,175974.04530944736
H-1686,Industrial District,2886,5,2,1998,1994,6,503040.5319554381
H-0553,Maplewood,2225,4,2,2020,2002,6,
H-0284,Maplewood,744,2,4,2021,2003,7,219266.553268051
H-1775,Sunny Valley,3072,5,1,1978,2004,3,785670.8434518767
H-0689,Sunny Valley,1370,7,3,2003,2016,7,463853.28121866944
H-0039,Gilden Ridge,"1,884",6,1,2014,2002,2,566801.569667878
H-1848,Swamp Bottom,3600 sqft,6,4,1982,2013,4,357614.42869403865
H-0733,Maplewood,2624 sqft,4,4,1960,2003,2,553519.7415731238
H-1178,Swamp Bottom,716,6,4,2019,2017,2,133747.1248912007
H-0091,Gilden Ridge,2784,5,4,1965,2006,1,588555.4372116112
H-0658,Maplewood,1522 sqft,5,3,1992,2009,3,366051.61487683665
H-0548,Maplewood,307,2,3,1991,2006,2,
H-1409,Swamp Bottom,"2,085",7,2,1960,1996,2,219345.11747288646
H-1005,Maplewood,"2,437",6,1,1972,2008,9,626526.8349326364
H-1308,Sunny Valley,"2,313",4,3,1980,2023,3,573398.7216238215
H-1461,Maplewood,2973,6,1,2008,2005,1,641302.7024415744
H-1102,Swamp Bottom,"1,019",2,3,2018,1994,9,145711.01375873553
H-0791,Maplewood,"2,759",7,2,2001,2015,7,646123.4764752953
H-0447,Swamp Bottom,"2,085",7,4,1980,2001,8,304864.0632655283
H-1639,Industrial District,"2,079",2,3,1996,1997,6,335472.75592474826
H-1202,Golden Ridge,"2,001",3,3,2020,1990,9,755189.2142222185
H-0457,Maplewood,"1,612",2,1,2024,2006,7,379701.34545627545
H-0060,Gilden Ridge,2994,2,1,1994,2002,4,700795.0610922241
H-1208,Sunny Valley,2105 sqft,2,1,1976,2005,10,526132.7000679581
H-0792,Maplewood,1627,4,1,1991,1991,2,355928.1949911986
H-0704,Golden Ridge,2390 sqft,4,2,2018,2013,7,859301.8241056792
H-1214,Maplewood,2037,3,4,1996,2017,5,442756.7909290045
H-1415,Industrial District,"2,892",7,3,1995,1997,3,540718.2461428435
H-0938,Golden Ridge,1414,3,2,2020,1990,8,577086.0589602025
H-1591,Industrial District,1122,4,1,1961,1995,4,248843.77772630978
H-1652,Sunny Valley,2659,3,1,2002,2024,4,673111.652325382
H-1544,Industrial District,"3,069",7,2,2003,2002,3,574593.7061319441
H-0738,Sunny Valley,528,2,3,1963,2004,2,172471.8011986387
H-1705,Golden Ridge,1835,2,1,1961,1996,8,641309.7840991296
H-0013,Gilden Ridge,1749 sqft,5,4,1968,2002,9,0.0
