House_ID,Neighborhood,Square_Feet,Bedrooms,Bathrooms,Year_Built,Year_Renovated,Condition,Sold_Price,Effective_Age,Neighborhood_Tier
H-0497,Golden Ridge,1797,4,3,1985,2022,3,635290.923266851,4,5
H-0483,Maplewood,538,4,4,2003,2010,8,223730.39442133013,16,3
H-0751,Industrial District,946,3,2,1970,2014,6,210751.1758045369,12,2
H-0470,Golden Ridge,2169,4,2,2001,2002,7,818447.2956254828,24,5
H-0308,Swamp Bottom,2877,7,2,1983,2015,2,358474.3871130422,11,1
H-1735,Swamp Bottom,2897,4,3,2002,2009,4,324676.18456596864,17,1
H-0675,Industrial District,1287,3,3,2003,2007,2,261543.97357402087,19,2
H-1679,Maplewood,2034,3,1,1962,2012,5,462993.6821471338,14,3
H-1443,Sunny Valley,2064,4,2,2001,2018,4,484033.1424820711,8,4
H-0587,Golden Ridge,1165,4,1,1997,2004,2,549751.97,22,5
H-0903,Maplewood,3481,3,2,1971,1999,8,716060.4578650725,27,3
H-1334,Industrial District,1699,6,4,1994,2000,10,427259.1066273029,26,2
H-0852,Sunny Valley,3122,7,4,1991,2004,10,921848.7232125432,22,4
H-0289,Maplewood,3163,4,1,2009,2014,4,631904.9877331852,12,3
H-1044,Swamp Bottom,1389,3,1,1979,1992,2,153744.60474196228,34,1
H-0048,Golden Ridge,3053,5,2,2004,2022,9,675645.7130668798,4,5
H-1530,Sunny Valley,2089,2,4,1962,1999,10,614015.2684768783,27,4
H-1828,Swamp Bottom,3149,2,3,1999,2013,8,361672.73872662,13,1
H-1650,Golden Ridge,1882,7,4,2018,2019,2,725710.9919130568,7,5
H-0532,Industrial District,1895,4,1,1990,2023,4,314172.15,3,2
H-0380,Golden Ridge,2568,5,1,1973,1994,4,922108.8819272676,32,5
H-0476,Golden Ridge,3252,4,2,1997,2022,7,1105266.7919247176,4,5
H-0505,Sunny Valley,2969,3,1,2003,2015,6,545012.33,11,4
H-0372,Golden Ridge,1969,4,4,1972,2007,7,790786.8257510641,19,5
H-0420,Swamp Bottom,310,7,2,1992,2018,5,62883.06581603501,8,1
H-0260,Maplewood,1761,5,3,1972,2009,6,456594.25891944696,17,3
H-0741,Sunny Valley,3555,5,1,1971,2012,1,851740.8351306014,14,4
H-0004,Golden Ridge,3216,3,2,1983,2021,10,0.0,5,5
H-1640,Maplewood,2794,4,1,2002,2004,5,567460.8100058788,22,3
H-1893,Sunny Valley,2255,2,2,1973,2009,3,527153.9284798357,17,4
H-1978,Swamp Bottom,2224,3,3,1976,2023,7,283319.812703422,3,1
H-0012,Golden Ridge,634,6,3,1998,2018,10,163435.87670493923,8,5
H-1281,Maplewood,2178,6,1,1961,1992,2,473456.1285741324,34,3
H-0663,Sunny Valley,1724,4,1,1985,2019,6,454462.63526260096,7,4
H-0715,Industrial District,1999,6,2,1976,2003,7,409673.4246413091,23,2
H-1395,Swamp Bottom,1720,7,1,1998,2007,4,227893.09879694175,19,1
H-1921,Golden Ridge,2363,2,1,1989,2021,10,859894.3290103525,5,5
H-0227,Sunny Valley,1863,6,3,2007,2010,10,630428.1466534594,16,4
H-1292,Maplewood,1872,5,2,2008,2022,1,420586.3618009915,4,3
H-1107,Swamp Bottom,966,6,4,1973,2014,9,144398.74113006008,12,1
H-0724,Maplewood,3490,6,1,1969,2005,6,749267.7416220914,21,3
H-0961,Maplewood,2045,2,4,1975,2009,9,465320.38594374416,17,3
H-1537,Maplewood,2784,5,4,2007,2017,9,642508.5824249607,9,3
H-0192,Swamp Bottom,2423,2,3,1996,2017,2,393868.7592764025,9,1
H-1299,Maplewood,2361,2,2,1975,2014,10,496636.6474582455,12,3
H-0264,Swamp Bottom,1742,3,1,1961,2003,7,159864.47363142687,23,1
H-1972,Sunny Valley,1577,5,3,1978,2005,4,473449.832592634,21,4
H-1494,Maplewood,2468,7,3,1991,2012,4,501871.2765466631,14,3
H-0750,Golden Ridge,2135,7,4,1967,2020,10,871430.8831449157,6,5
H-0408,Industrial District,834,5,1,2013,2014,3,227041.04839130872,12,2
H-0267,Maplewood,2029,6,4,1982,2006,6,479459.55554301775,20,3
H-1784,Maplewood,1699,7,2,1999,2013,5,480340.0765141558,13,3
H-1632,Maplewood,1427,4,2,1970,2011,5,343754.4946470533,15,3
H-1773,Industrial District,2137,2,4,1998,2013,3,364320.5694566858,13,2
H-0324,Industrial District,1969,2,3,2000,2013,2,309359.302534178,13,2
H-0966,Maplewood,-61,2,3,1978,1998,6,64197.39302162791,28,3
H-0098,Golden Ridge,1319,5,1,1987,2012,3,520821.2226015074,14,5
H-0404,Sunny Valley,3622,5,1,1968,2013,10,936679.0815609036,13,4
H-1427,Industrial District,-1007,2,4,2000,2017,8,-101023.15063552569,9,2
H-1715,Industrial District,-239,7,3,2007,2020,2,66217.12948155645,6,2
H-1622,Maplewood,2731,3,1,2010,2020,8,613841.5067235664,6,3
H-0344,Sunny Valley,1154,4,2,2009,2024,2,327326.6174268867,2,4
H-1975,Industrial District,3133,2,4,1992,2012,1,476305.5492846739,14,2
H-1509,Swamp Bottom,2401,4,2,1972,1997,1,227456.32791086167,29,1
H-1763,Maplewood,1295,3,2,1978,2020,7,364018.8831077238,6,3
H-0516,Sunny Valley,953,2,2,1991,2007,9,504859.29,19,4
H-0722,Golden Ridge,1986,4,1,1973,2019,4,732213.1318613169,7,5
H-1421,Maplewood,1209,3,3,2003,2012,8,299701.79863915103,14,3
H-0428,Sunny Valley,2182,4,4,2015,2021,5,613408.2134005185,5,4
H-1287,Sunny Valley,2451,3,4,2005,2020,9,665494.3615359087,6,4
H-0821,Golden Ridge,1063,5,3,2000,2001,5,508940.5900808376,25,5
H-0007,Golden Ridge,1596,2,2,1989,2022,4,0.0,4,5
H-1936,Sunny Valley,2941,5,4,1979,2007,6,809951.8972477724,19,4
H-1159,Golden Ridge,1167,2,2,1962,2020,2,422854.93074254994,6,5
H-1539,Maplewood,883,7,4,1999,2001,8,312090.2135384817,25,3
H-0625,Sunny Valley,2889,6,3,1962,2014,7,775844.0948215838,12,4
H-0922,Swamp Bottom,2689,6,4,1960,1996,4,274813.90178893955,30,1
H-1601,Sunny Valley,1657,5,2,1988,2000,6,507209.8360200222,26,4
H-1400,Sunny Valley,2126,6,3,1992,2022,8,621404.1739099245,4,4
H-0055,Golden Ridge,2080,5,4,1974,2002,5,330326.7362223897,24,5
H-0384,Maplewood,2408,2,1,1990,2015,5,533542.1849894373,11,3
H-0915,Sunny Valley,1780,3,1,2013,2022,1,459587.68788853753,4,4
H-0310,Sunny Valley,3882,4,2,1965,2016,8,982890.6209981262,10,4
H-2000,Golden Ridge,1596,2,2,1989,2022,4,186550.8266714348,4,5
H-0893,Sunny Valley,1586,5,1,2007,2015,8,541882.1620806427,11,4
H-1518,Sunny Valley,3096,4,3,2013,2023,8,762898.8066036428,3,4
H-1981,Swamp Bottom,2017,7,2,1991,2001,4,259209.7195029238,25,1
H-0186,Swamp Bottom,1785,3,3,2008,2013,3,188573.50659663332,13,1
H-0851,Maplewood,1840,5,2,2013,2019,5,456988.2875287612,7,3
H-0188,Swamp Bottom,2922,4,1,1976,1996,2,559502.4678555029,30,1
H-0879,Sunny Valley,2771,7,3,1984,2013,5,831748.0427331345,13,4
H-1709,Maplewood,2895,4,1,1960,2024,5,646497.0296053934,2,3
H-0066,Golden Ridge,3478,4,1,1967,2020,3,1172911.9261313952,6,5
H-1259,Maplewood,2714,6,2,1998,2014,10,629494.4995389666,12,3
H-1341,Maplewood,1465,5,1,2010,2015,5,380487.8841125327,11,3
H-0798,Maplewood,1798,6,2,1990,2002,2,437292.5642614503,24,3
H-1867,Sunny Valley,3069,7,2,1980,2018,7,849406.2687908611,8,4
H-0891,Swamp Bottom,1549,5,2,1999,2012,3,186513.8907323704,14,1
H-1914,Sunny Valley,1435,2,1,1987,1995,10,404623.0680623712,31,4
H-0342,Sunny Valley,1405,4,2,2001,2013,5,385539.3088363039,13,4
H-1551,Maplewood,571,2,2,1979,2004,2,135594.1121367851,22,3
H-0000,Golden Ridge,2157,5,3,1960,1997,6,627408.148318637,29,5
H-1707,Sunny Valley,1356,7,4,1985,2019,4,460386.861675509,7,4
H-1302,Golden Ridge,1915,3,3,1996,1999,1,618703.9175469168,27,5
H-1855,Sunny Valley,2998,6,1,2014,2015,1,810101.6756289375,11,4
H-1339,Golden Ridge,3849,5,1,1973,1990,8,1309329.7969759975,36,5
H-0914,Maplewood,3031,3,4,1994,2011,5,634079.1202730872,15,3
H-0006,Golden Ridge,1431,3,2,1977,2006,3,556619.32109794,20,5
H-0820,Swamp Bottom,1979,6,1,1999,2014,7,245604.344135962,12,1
H-1357,Sunny Valley,3166,4,2,1984,1998,4,821346.3082575832,28,4
H-0197,Swamp Bottom,1275,3,1,1998,2004,5,155117.67642388356,22,1
H-0096,Golden Ridge,2333,2,2,1972,2016,7,510347.5174760157,10,5
H-0037,Golden Ridge,2032,6,4,1984,2001,6,765572.7735218791,25,5
H-0813,Industrial District,2037,2,3,2001,2008,10,391701.22272671777,18,2
H-0746,Sunny Valley,2545,3,1,1996,2022,4,668155.1573879782,4,4
H-0127,Swamp Bottom,2231,2,4,1973,2021,10,263024.3579049019,5,1
H-0277,Maplewood,1728,2,3,1961,1995,10,426238.1586249167,31,3
H-1934,Maplewood,3105,4,4,1966,2010,10,658602.0995672825,16,3
H-1662,Industrial District,2398,2,1,1988,2014,5,407123.1571896978,12,2
H-0670,Sunny Valley,1377,6,2,1992,1992,5,497355.9543354471,34,4
H-1911,Swamp Bottom,851,6,2,1970,2024,7,148365.10747085774,2,1
H-1969,Golden Ridge,1635,5,4,2010,2014,3,582263.2163936143,12,5
H-1318,Golden Ridge,770,6,2,1980,1992,7,398879.074660965,34,5
H-0774,Swamp Bottom,1841,5,3,1992,2010,8,202285.937080454,16,1
H-0345,Maplewood,1849,7,2,1990,2022,6,493640.23781596846,4,3
H-1797,Golden Ridge,2656,6,3,1968,1998,8,1028227.508106099,28,5
H-1985,Golden Ridge,997,3,4,2004,2013,10,465509.6892478978,13,5
H-0487,Sunny Valley,1047,6,3,1994,1996,1,296400.43472341564,30,4
H-0460,Golden Ridge,2860,4,4,1997,2006,7,1077158.732930563,20,5
H-1046,Sunny Valley,1552,2,3,1986,2014,6,449645.853480905,12,4
H-1717,Maplewood,2197,2,3,1990,2016,6,446654.51712062414,10,3
H-0204,Maplewood,3260,6,1,2008,2023,10,775229.325327746,3,3
H-0445,Industrial District,1996,7,2,2011,2011,10,424287.090146012,15,2
H-1851,Swamp Bottom,1610,7,1,1967,1994,10,202128.80993055383,32,1
H-0519,Sunny Valley,1186,4,3,1990,2017,3,579916.26,9,4
H-0985,Maplewood,2160,5,1,2010,2018,4,523014.2053498536,8,3
H-1926,Maplewood,627,2,4,1996,2009,9,217606.7631248821,17,3
H-1101,Industrial District,3295,6,1,1997,2001,1,559355.2013395935,25,2
H-1126,Golden Ridge,1841,2,4,2009,2009,3,611498.322146839,17,5
H-1489,Sunny Valley,2899,6,2,1994,2003,8,814334.6016545212,23,4
H-1954,Industrial District,2330,4,4,2021,2022,4,414258.7364713145,4,2
H-1844,Industrial District,1712,7,1,1974,1996,7,378815.21703984,30,2
H-0978,Maplewood,2089,7,4,2013,2014,8,527482.2581652708,12,3
H-1127,Sunny Valley,1835,3,1,2001,2013,3,505893.078007316,13,4
H-1149,Swamp Bottom,3081,3,3,1969,2021,10,349098.8116117515,5,1
H-0145,Swamp Bottom,3229,3,2,1985,2023,5,1092887.9386396415,3,1
H-0956,Maplewood,1509,6,2,1990,2003,7,371346.32109394367,23,3
H-1593,Golden Ridge,1386,5,4,1991,2005,7,674303.6265998138,21,5
H-0397,Sunny Valley,1327,4,4,1979,1990,7,456464.25764624326,36,4
H-0001,Golden Ridge,1479,4,3,2016,2017,6,303059.0625239145,9,5
H-2001,Golden Ridge,2157,5,3,1960,1997,6,0.0,29,5
H-0221,Maplewood,1384,7,4,2000,2014,4,425650.0691229921,12,3
H-1558,Swamp Bottom,2258,5,4,1986,2018,8,256014.83511576723,8,1
H-0423,Maplewood,3422,2,2,2003,2019,8,671508.1248516772,7,3
H-0262,Golden Ridge,2043,4,1,1992,1996,2,698510.7573890031,30,5
H-1383,Sunny Valley,997,2,4,1991,2018,4,294580.9763924708,8,4
H-0837,Sunny Valley,1298,7,4,1989,2019,6,472040.0700407309,7,4
H-0692,Maplewood,1694,5,3,1981,1993,2,381102.19990783976,33,3
H-1346,Sunny Valley,713,7,4,1966,2005,4,319653.42725443584,21,4
H-1209,Industrial District,1958,3,1,2000,2004,5,321638.8226868574,22,2
H-1910,Sunny Valley,1815,6,2,1993,2002,5,553850.6424899342,24,4
H-0438,Maplewood,1875,7,3,1989,2023,1,420091.190435649,3,3
H-1688,Maplewood,1852,4,2,1996,2017,7,443046.2220022538,9,3
H-0503,Swamp Bottom,1744,3,4,1982,2004,1,226431.19,22,1
H-0810,Industrial District,2310,2,2,1999,2012,6,410209.9039330321,14,2
H-0919,Golden Ridge,2332,3,1,2005,2009,4,839249.4013653217,17,5
H-1579,Maplewood,1417,7,1,1992,1993,7,434331.9791858119,33,3
H-1218,Maplewood,1715,4,1,1981,2015,6,388121.67497009353,11,3
H-0982,Golden Ridge,975,3,4,1969,2018,7,440336.5693597471,8,5
H-0781,Maplewood,2676,7,2,1996,1998,4,592462.8347091101,28,3
H-0366,Industrial District,283,3,3,1967,2004,3,83189.39195424003,22,2
H-0859,Golden Ridge,1302,3,1,2009,2024,6,536243.7727462453,2,5
H-0929,Sunny Valley,1355,2,4,2008,2011,5,386662.1424562095,15,4
H-1274,Maplewood,2406,2,2,1990,2020,2,529379.5607690563,6,3
H-0463,Maplewood,3181,2,4,2014,2019,4,633632.994146506,7,3
H-1002,Swamp Bottom,2669,5,1,1978,1993,9,314809.13006945606,33,1
H-1182,Maplewood,2574,7,2,1972,2010,3,572321.0045636761,16,3
H-1595,Maplewood,1709,4,4,1997,2008,10,452220.60361918405,18,3
H-1004,Swamp Bottom,570,6,1,1992,1997,3,138750.5701179911,29,1
H-0580,Maplewood,1041,4,4,1981,2021,5,513569.5,5,3
H-0719,Maplewood,1748,6,3,1990,2020,3,412766.7726040443,6,3
H-0067,Golden Ridge,1917,2,1,2004,2006,10,216488.3132195676,20,5
H-1743,Golden Ridge,2854,2,1,1977,1993,6,938303.330823276,33,5
H-1201,Golden Ridge,2405,4,3,1991,2007,1,837756.3269596173,19,5
H-0473,Swamp Bottom,1450,6,3,1989,2007,8,190926.10775413,19,1
H-0853,Swamp Bottom,1077,5,4,1974,2008,3,158061.69016930362,18,1
H-0223,Sunny Valley,1674,5,4,1991,1993,9,539653.1384932828,33,4
H-0191,Swamp Bottom,2481,4,1,1984,2019,8,259082.9608687882,7,1
H-1325,Sunny Valley,684,6,3,1990,2021,5,332181.4575709315,5,4
H-1353,Maplewood,2185,4,1,1986,1990,3,439127.2453727775,36,3
H-1918,Sunny Valley,2178,2,1,1963,1999,10,604616.5759454551,27,4
H-1335,Maplewood,648,6,4,1987,2022,1,226916.4333463616,4,3
H-1699,Maplewood,416,3,2,1991,2004,6,138761.27519165698,22,3
H-1167,Maplewood,1854,7,3,1972,2016,10,537490.3435835454,10,3
H-1790,Sunny Valley,2133,7,1,1976,2000,1,629430.0592469649,26,4
H-1843,Maplewood,2290,4,1,1961,2017,2,533984.4347694811,9,3
H-0779,Maplewood,1560,2,3,1980,2000,9,400813.0940000317,26,3
H-1431,Maplewood,1702,2,4,2003,2010,5,354236.96927002363,16,3
H-1412,Sunny Valley,2516,4,3,1994,2001,9,753136.4054754751,25,4
H-1726,Maplewood,2866,4,4,1990,2002,7,619110.9495134595,24,3
H-1301,Industrial District,1668,2,1,1975,2002,9,316011.1857202348,24,2
H-1864,Industrial District,721,2,2,1987,2002,10,146549.34085626362,24,2
H-1150,Maplewood,862,3,3,1976,2021,2,206113.1884631019,5,3
H-0526,Sunny Valley,1780,4,4,1966,2022,6,570890.66,4,4
H-1043,Maplewood,893,7,3,2017,2018,8,319613.8535699681,8,3
H-1410,Sunny Valley,1081,2,4,2019,2022,5,355613.5342130731,4,4
H-1081,Golden Ridge,-329,3,3,1979,1994,9,16331.445873172022,32,5
H-1430,Maplewood,1059,7,1,1980,2008,5,367485.8592511228,18,3
H-1026,Swamp Bottom,1788,2,1,1978,2004,8,244305.5347016317,22,1
H-0362,Maplewood,3518,5,3,1986,2020,8,757826.5862105029,6,3
H-0193,Swamp Bottom,2319,5,3,2000,2022,6,563207.7631716228,4,1
H-1577,Maplewood,3154,2,4,1972,1993,10,639574.6254346053,33,3
H-0577,Industrial District,1207,5,2,1972,1991,10,461285.63,35,2
H-1023,Industrial District,801,4,1,1977,2006,8,188265.27406866837,20,2
H-0997,Golden Ridge,1184,7,4,2016,2020,8,640625.8855889674,6,5
H-0356,Golden Ridge,1680,7,2,1998,2020,2,656228.5619426753,6,5
H-1324,Industrial District,2691,4,3,2005,2007,3,483082.2685944153,19,2
H-0321,Maplewood,1761,2,3,2010,2010,6,416973.3923764466,16,3
H-1145,Swamp Bottom,1008,5,4,1976,2020,6,141820.06177706015,6,1
H-1261,Swamp Bottom,1903,2,1,1962,2018,7,204583.69540832925,8,1
H-1991,Sunny Valley,763,7,4,1998,2005,6,366095.36540927057,21,4
H-1139,Maplewood,1982,4,3,1974,2017,7,456044.44715061336,9,3
H-0363,Maplewood,2337,4,4,1974,1995,3,513569.4998169956,31,3
H-0317,Sunny Valley,3101,5,4,1987,2001,7,793431.6246897149,25,4
H-0355,Maplewood,1877,7,4,2013,2022,3,516306.8430100095,4,3
H-1623,Industrial District,2709,7,4,2017,2021,7,479967.8809808242,5,2
H-0177,Swamp Bottom,2485,6,4,1995,2009,8,754759.0758671366,17,1
H-0258,Maplewood,1546,2,4,1972,1990,3,327105.58046108903,36,3
H-1314,Maplewood,2155,2,4,2005,2022,8,486689.6776598492,4,3
H-0622,Sunny Valley,2413,2,1,2005,2015,10,662656.8910715694,11,4
H-0518,Industrial District,2201,3,3,2010,2013,2,261543.97,13,2
H-1405,Maplewood,1234,6,2,1979,2021,6,365591.1799928102,5,3
H-0140,Swamp Bottom,2056,5,4,1978,2005,3,389256.4766055244,21,1
H-0590,Golden Ridge,1848,5,4,2008,2016,5,585409.33,10,5
H-1060,Swamp Bottom,260,7,3,1989,2018,9,103275.4245860928,8,1
H-0016,Golden Ridge,1799,3,4,1992,1994,7,0.0,32,5
H-1610,Swamp Bottom,1379,5,2,1990,2020,9,192242.41793283424,6,1
H-0276,Swamp Bottom,2399,5,4,1993,2014,7,306849.1112924266,12,1
H-0164,Swamp Bottom,979,4,3,1982,2012,10,512664.536561884,14,1
H-1085,Maplewood,1862,5,4,1969,1999,2,395821.76379773,27,3
H-0690,Sunny Valley,3386,5,1,1965,2010,10,889396.3416959657,16,4
H-0790,Sunny Valley,1603,6,2,1998,2011,9,538533.6110662996,15,4
H-0236,Sunny Valley,3180,2,3,2015,2022,9,824280.4315160838,4,4
H-0379,Sunny Valley,2616,2,3,1997,2019,9,685546.4745331791,7,4
H-0888,Golden Ridge,3125,3,2,1990,2017,5,1020706.8026585804,9,5
H-0478,Industrial District,3070,6,2,1998,2015,5,514736.4365275952,11,2
H-1961,Sunny Valley,1603,7,3,1962,1993,10,570325.7742891166,33,4
H-0628,Golden Ridge,1700,4,4,1976,2005,9,692055.6673820874,21,5
H-0649,Maplewood,1062,6,2,1969,2001,3,292086.5777653134,25,3
H-0814,Swamp Bottom,1155,5,4,1970,2007,3,169830.61868565902,19,1
H-0015,Golden Ridge,2701,5,1,1988,2010,4,759409.380604992,16,5
H-1227,Sunny Valley,2247,3,3,2003,2013,6,601505.2271578056,13,4
H-0809,Golden Ridge,1401,3,3,2003,2013,5,486830.9045741609,13,5
H-0122,Swamp Bottom,-151,3,2,1994,2014,1,720.4366790299573,12,1
H-1842,Sunny Valley,883,5,3,1985,2020,6,358752.6081663507,6,4
H-1767,Maplewood,1792,5,1,2004,2021,7,409019.9392694169,5,3
H-1001,Maplewood,1172,2,4,1992,2022,1,238788.43447649977,4,3
H-0498,Industrial District,864,7,2,1995,2024,3,159953.03855462844,2,2
H-1826,Golden Ridge,2430,3,4,1990,2020,10,893367.6382445587,6,5
H-1072,Golden Ridge,358,4,1,1960,1995,6,278355.4478116969,31,5
H-1798,Golden Ridge,1668,3,3,2012,2018,1,545103.0782395976,8,5
H-0640,Golden Ridge,1754,3,4,2005,2021,2,606133.7102275669,5,5
H-0219,Swamp Bottom,2529,6,2,1978,2023,10,312001.9852490318,3,1
H-0691,Sunny Valley,2930,6,4,2009,2023,10,870828.5038912713,3,4
H-1582,Maplewood,3257,5,4,1989,2020,5,696657.5178069063,6,3
H-1612,Maplewood,3009,2,2,2007,2020,1,579386.2255208027,6,3
H-1247,Golden Ridge,1865,5,4,1992,2012,3,701720.6179171384,14,5
H-1637,Sunny Valley,2727,6,3,2000,2005,6,678471.3869766883,21,4
H-0626,Maplewood,2490,7,3,1991,2001,10,586313.1059300589,25,3
H-0485,Industrial District,789,6,2,1960,2004,8,260125.0833118262,22,2
H-1330,Maplewood,3647,4,3,1988,1997,1,763731.42874393,29,3
H-1033,Golden Ridge,2168,6,2,2014,2018,7,839649.7211394643,8,5
H-1901,Golden Ridge,2964,3,3,1999,2012,6,986102.2574590856,14,5
H-0210,Maplewood,2098,4,4,1996,2008,1,453643.22912442335,18,3
H-0257,Maplewood,2007,7,3,2001,2022,10,604978.0600561625,4,3
H-1255,Sunny Valley,655,5,4,1968,1992,7,300996.63346610265,34,4
H-0332,Golden Ridge,1492,5,4,1988,2016,9,645317.7902487495,10,5
H-0005,Golden Ridge,2081,7,3,1978,2004,8,685282.974265661,22,5
H-1959,Swamp Bottom,3537,4,3,1989,1995,3,385459.3676092081,31,1
H-0946,Golden Ridge,2477,6,4,2010,2016,8,988441.3182772148,10,5
H-0352,Maplewood,1262,3,4,2006,2022,4,262168.7809952677,4,3
H-1087,Sunny Valley,1717,6,1,2018,2019,1,488256.45264589007,7,4
H-1068,Sunny Valley,2112,4,2,1971,2002,7,620515.042976244,24,4
H-0638,Sunny Valley,2071,3,1,1966,1997,5,545012.3331288667,29,4
H-1722,Sunny Valley,2404,3,3,2006,2024,6,637092.9110385864,2,4
H-0100,Swamp Bottom,2970,5,2,2009,2018,4,996486.9113544216,8,1
H-1824,Maplewood,1383,2,4,1985,2004,8,344991.83265699324,22,3
H-1408,Maplewood,2786,4,4,1987,2021,5,570977.8551688042,5,3
H-0967,Sunny Valley,1542,7,2,1989,2021,6,510337.7639465269,5,4
H-1672,Swamp Bottom,233,7,3,1980,1993,4,100476.27284056004,33,1
H-1647,Swamp Bottom,1067,4,3,1988,2018,4,156503.73009754583,8,1
H-1262,Sunny Valley,1986,6,2,2015,2023,4,603974.4078345487,3,4
H-1533,Sunny Valley,2009,6,1,1983,2002,1,558110.2534198379,24,4
H-1045,Maplewood,2042,4,1,1990,2020,7,489464.7615376375,6,3
H-0198,Swamp Bottom,2626,7,1,1973,2001,5,319041.09357990447,25,1
H-0589,Sunny Valley,2715,7,2,1976,1994,6,642117.89,32,4
H-1110,Swamp Bottom,2015,3,2,1992,1998,5,225099.94082318817,28,1
H-1976,Sunny Valley,3270,6,1,1999,2023,8,874902.4508051958,3,4
H-0071,Golden Ridge,1425,3,4,1967,1998,10,494791.0673985539,28,5
H-1568,Maplewood,2029,6,2,1982,2022,7,489708.2352647864,4,3
H-0827,Sunny Valley,953,2,4,1990,2024,1,260138.8065264376,2,4
H-0275,Maplewood,3458,5,3,1979,1994,3,723632.1348265645,32,3
H-0286,Maplewood,3042,4,3,1974,2010,7,645056.1444249112,16,3
H-0018,Golden Ridge,2063,4,4,1974,1995,3,530271.974408341,31,5
H-1428,Maplewood,1845,4,2,1977,2005,1,391784.47107822617,21,3
H-0898,Golden Ridge,1275,6,1,1974,2009,7,603694.797824608,17,5
H-0687,Sunny Valley,1755,2,1,1975,2016,4,455096.3518034781,10,4
H-0386,Sunny Valley,2692,5,1,1981,1991,6,733438.6112218841,35,4
H-0244,Golden Ridge,1155,6,2,1995,2011,6,531586.3165328619,15,5
H-0410,Sunny Valley,3413,4,2,1997,2013,4,892135.9497684826,13,4
H-1264,Golden Ridge,2506,5,2,1970,2003,1,860937.5157006527,23,5
H-1133,Sunny Valley,920,4,3,1993,2013,10,377010.83633518376,13,4
H-0231,Maplewood,2808,2,4,1989,2002,4,545200.1275365571,24,3
H-1277,Industrial District,2306,2,3,1984,2024,10,422694.7693194856,2,2
H-0282,Sunny Valley,3803,3,2,2009,2018,3,882584.3228589732,8,4
H-1097,Sunny Valley,1670,7,4,2013,2022,4,537784.080126735,4,4
H-0786,Maplewood,1527,7,1,2001,2016,10,409990.5160527506,10,3
H-1032,Sunny Valley,1565,5,1,1984,2013,6,524100.0185305811,13,4
H-2002,Golden Ridge,1431,3,2,1977,2006,3,0.0,20,5
H-0501,Maplewood,1377,2,2,1976,2018,6,496636.65,8,3
H-1751,Sunny Valley,3244,3,3,1973,2004,7,833860.5222181883,22,4
H-1425,Industrial District,2680,7,1,1993,2012,3,500470.1556398463,14,2
H-1235,Sunny Valley,1936,4,1,2010,2018,7,534625.7527886274,8,4
H-1184,Golden Ridge,1540,5,2,2002,2016,5,608846.1329252925,10,5
H-0343,Sunny Valley,922,2,4,1992,1995,4,254248.195978705,31,4
H-1628,Golden Ridge,2958,2,1,2001,2007,5,985385.0979088022,19,5
H-1895,Maplewood,333,4,1,1989,2019,8,153066.45266799125,7,3
H-1776,Maplewood,1208,7,1,1993,2010,2,340220.35518330295,16,3
H-0318,Sunny Valley,2161,5,2,1962,2017,10,601146.3781969702,9,4
H-0659,Maplewood,2167,2,3,1985,2003,6,473813.5162816794,23,3
H-1685,Swamp Bottom,2692,5,3,1992,2001,7,292665.53643234324,25,1
H-0134,Swamp Bottom,2170,4,2,1995,2015,1,374127.6820665523,11,1
H-1115,Maplewood,2471,5,4,1990,2006,1,452531.4729944021,20,3
H-0895,Sunny Valley,1623,7,1,2001,2002,6,568278.1543386967,24,4
H-1354,Maplewood,3275,6,3,1960,1998,1,708993.7690252727,28,3
H-1947,Golden Ridge,2401,5,2,2007,2020,7,888078.9122540721,6,5
H-0128,Swamp Bottom,2403,4,4,2004,2015,6,862518.1302254891,11,1
H-0133,Swamp Bottom,1337,4,4,1982,2017,10,427216.1038771969,9,1
H-0668,Sunny Valley,735,7,3,1971,1997,10,364119.6237119286,29,4
H-1268,Maplewood,2138,5,1,1992,1998,4,473385.41052865307,28,3
H-1879,Maplewood,1628,3,2,1994,2018,3,359410.8566480705,8,3
H-0350,Maplewood,1580,5,3,2000,2007,3,386677.7140771209,19,3
H-1925,Golden Ridge,2991,7,3,2016,2023,5,1072240.3055248077,3,5
H-1344,Maplewood,2616,2,4,1964,1997,9,567738.0681763472,29,3
H-0574,Swamp Bottom,2508,7,1,2017,2019,4,269065.08,7,1
H-0605,Maplewood,3037,3,3,1993,2001,2,624441.3929260348,25,3
H-1164,Sunny Valley,2560,6,3,2015,2019,10,776864.2787866018,7,4
H-1529,Maplewood,2388,2,2,1972,1991,3,505111.0120710717,35,3
H-2003,Golden Ridge,2063,4,4,1974,1995,3,0.0,31,5
H-0146,Swamp Bottom,8,3,1,1999,2000,10,155120.14218940775,26,1
H-0072,Golden Ridge,1973,7,4,1975,2012,6,807152.4183089751,14,5
H-1611,Maplewood,3647,4,4,1982,2005,4,785152.3415966888,21,3
H-1143,Maplewood,1516,7,1,2010,2011,10,425772.3067053729,15,3
H-1700,Industrial District,1455,5,3,1979,2022,7,287574.0075971129,4,2
H-1031,Maplewood,2079,6,2,1999,2017,3,486477.156568055,9,3
H-0752,Maplewood,2757,5,2,2012,2013,6,581993.3863425517,13,3
H-1753,Sunny Valley,2263,6,4,1992,2011,4,627252.9852228402,15,4
